CATEGORY;COMPANY NAME;COMPANY INFORMATION
Pricing Software;Feedvisor;Feedvisor is the “AI-first” optimization and intelligence platform for brands and sellers on Amazon, Walmart, and e-marketplaces. Feedvisor’s platform and team of experts offer best-in-class advertising campaign optimization, patented pricing technology, brand and content management, and data-backed intelligence. Together, these features drive demand, profit, and revenue growth on online marketplace.
Pricing Software;BlackCurve;BlackCurve is your eCommerce pricing HQ. We help e-commerce businesses understand their competitors, and use price to improve digital marketing performance. Your customers are shopping around, and your pricing is a key factor in how they perceive your brand. BlackCurve 'Tracker' allows you to track your competitors daily with Google Shopping price monitoring. Stop wasting marketing spending and improve your Cost Per Acquisition (CPA). BlackCurve 'Marketing Plugin' shows you how price influences your digital marketing performance. Pricing hundreds and thousands of SKUs daily is difficult. BlackCurve's Dynamic Pricing Technology allows you to beat the competition ('Challenger') and improve Google Ads performance ('Commander').
Pricing Software;Zilliant;Zilliant powers intelligent commerce for B2B companies with cloud-native pricing and sales software. We help our customers use data to more intelligently deploy their commercial strategies and effectively execute in all go-to-market channels, with world-class AI and data science, B2B pricing and sales expertise, highly scalable software, and a passion for customer success. Zilliant’s solutions enable B2B companies to more effectively respond to changing market dynamics, grow profitably and gaina strategic competitive advantage, while realizing the highest ROI and fastest time to value. Zilliant's solution set includes: Zilliant IQ Platform™: True cloud-native platform that helps companies operationalize data science to solve pricing, sales and commercial challenges, while serving as the architectural underpinning for our leading pricing and sales applications. Price IQ®:  The market-leading B2B price optimization application, recognized by IDC for 
Pricing Software;Vendavo;Vendavo powers the shift to digital business for the world’s most demanding B2B companies, unlocking value, growing margin and accelerating revenue. With the Vendavo Commercial Excellence platform, companies develop dynamic customer insights and optimal pricing strategies that maximize margin, boost sales effectiveness and improve customer experience. With an annual margin improvement totaling more than $2.5 billion across companies in chemicals, distribution, high-tech and manufacturing, Vendavo delivers cutting-edge analytics and deep industry expertise that help companies stay one step ahead.  Fun Fact: In 2020, during Vendavo's 
Pricing Software;TrackStreet MAP Compliance Software;TrackStreet™ monitors what’s happening with your brand across the Internet and delivers actionable sales intelligence to protect + grow  your brand. ***What TrackStreet Does***TrackStreet is a true brand partner. We leverage deep industry expertise and artificial intelligence to help automate MAP (Minimum Advertised Price) Policy Enforcement to give you a significant competitive edge. Our platform saves you time and money and helps protect your established resale channel from unauthorized or unknown sellers on sites like Amazon, who may be hurting your brand and margins. ***Our clients use our services to:***• Gain deep insights into their online sales channel• Assess market opportunities for new products and brands• Manage and enforce MAP programs• Understand market feedback and catch product issues before they snowball *** TrackStreet Services***- Market VisibilityTrackStreet monitors Internet marketplaces and free-standing websites to track who’s selling your products, where they’re selling them, their price, and gives you tools to understand sales and distribution trends that drive data-based market decisions. - Minimum Advertised Price (MAP) ComplianceWith the most powerful and effective MAP enforcement platform in the industry, TrackStreet automates many otherwise manual processes such as the sending of MAP violation notices, tracking policy compliance, and the creation and distribution of customized Do-Not-Sell lists.  - Product Review Tracking and AggregationTrackStreet Review Tracking is a proactive monitoring service that tracks all your Internet sales channels for new or updated reviews, and then compiles your consumer feedback in one easy to access interfacewhere you can run detailed analysis and enable automated alerts that inform you to new reviews that need your attention. - Dealer Portal and other modules to help you improve management of your existing network of authorized dealers and sellers and drive more revenue from your resale channel. ***How can we best help you? Call us to schedule a free consultation or find more information at TrackStreet.com***
Pricing Software;Verenia;In today’s competitive business environment, manufacturers need a complete, robust front-end sales solution that is specifically designed to help internal and external sales reps quote and sell discrete, configurable products quickly and easily. A modern solution that is specifically built for the unique needs of manufacturers is the only viable, sound option. Verenia is designed and developed for makers of physical products, with a sales optimization and configuration solution that addresses their unique needs, increasing sales and reducing manufacturing costs. The solution produces 100% accurate quotes for complex, configurable, discrete products and features unique capabilities built to make manufacturers more efficient.
Pricing Software;ResponsiBid;It’s like hiring the most responsible office assistant you can imagine for a fraction of what an office assistant costs. And it does the job the way you want it to. Every time. ResponsiBid allows you to quickly build proposals in any service field, particularly carpet cleaning, window cleaning, pressure washing, window tinting, and solar panel cleaning... but the custom items area will allow you to build a proposal for anything you can imagine. ResponsiBid then automates the follow-up and aggregates the data so that you know where you are getting the best leads and customers. Some of our features include:- Proposal total customization- Price floors for certain geographic and/or building sizes- Automatic trip charge inclusion- 
Pricing Software;Digital Sales Platform;Manufacturing is complex. Selling it shouldn't be. In Mind Cloud is the scalable digital sales platform made for manufacturers. Our end-to-end sales software flawlessly aligns your customers’ goals with your production capabilities and unites all your sales processes on one platform.  The In Mind Cloud Digital Sales Platform uses the cutting-edge performance of CRM, CPQ, and Commerce, to harness the power of your extensive product knowledge and intelligent analytics to improve sales.  In Mind Cloud (www.inmindcloud.com) is an independent provider of a manufacturing sales platform with the mission to empower manufacturers. We are operating globally through our offices in Singapore, Germany, the US, and a high-value partner network.
Pricing Software;BrainLeaf;BrainLeaf helps web and app developers quickly scope and price their projects.
Pricing Software;Terapeak;Spot trends, monitor competitors, reach new shoppers, and optimize your business-to grow like never before!
Pricing Software;DemandTec Lifecycle Pricing;DemandTec by Acoustic is committed to taking AI pricing to new heights. With deep and commanding worldwide retail pricing domain knowledge and experience, DemandTec enables retailers and CPG partners to deliver optimal pricing, promotions, and markdowns that protect price image and increase margins and sales, while driving customer loyalty and market share. DemandTec addresses retail pricing challenges today and into the future with relentless focus, commitment and ongoing investment.
Pricing Software;IntelligenceNode;Intelligence Node is a real-time, AI-driven retail price intelligence and competitive analytics platform that empowers businesses to drive product level profitability and grow margins using data-driven competitive insights.   Our platform includes pricing & promotions, digital shelf analytics, assortment & availability, and brand protection solutions for retailers and brands. Our proprietary AI-driven algorithms yield 99% matching accuracy and deliver data intelligence about your products within the competitive landscape. Insights are delivered via SaaS portal or plug & play API formats, for quick-to-deploy integration. It is the platform of choice for hundreds of retailers and brands worldwide, including category leaders like Nestle, Prada, Lenovo, LIDL, Clos 19, SSense,  and many others, feeding the growth of more than $600 billion in retail revenue globally Please visit www.IntelligenceNode.com and on Twitter @bigdataNODE.
Pricing Software;PriceEdge;"PriceEdge is a price optimization & management software used for advanced price setting in various industries. The tool helps you find price improvement opportunities, measure price effectiveness and provides a clear overview of the pricing impact over time through its built-in or custom reports.  Benefits:- can be implemented in less than a day;- fully documented;- this tool can be used  stand-alone or it can be integrated with your ERP or PDM;- AI capabilities are ready to be added on Having all the significant data in one tool: costs, sales, price history, customer history, competitor prices, etc. you are able to perform extensive profit and margin analysis and you will make the best decision on your next pricing strategy."
Pricing Software;QuickLizard Pricing Optimization;Quicklizard’s AI-pricing optimization platform helps multichannel retailers automate and optimize their pricing and promotions. With Quicklizard – retailers know that their prices are always aligned with their business goals. The right price for every SKU. On every channel. All the time.
Pricing Software;repricerexpress;RepricerExpress is a Amazon and eBay repricing solution that's easy to set-up and use and helps keeping listings competitive 24/7 without constant attention.
Pricing Software;ProPricer;"ProPricer is a proposal pricing software built to produce solutions to maximize efficiency and accuracy in the development, submission, evaluation, negotiation, and audit of proposal pricing. From storage of historical proposal data to ease of generating various reports, ProPricer empowers Government Contractors to quickly and easily build custom proposals, perform what-if analyses, and integrate all proposal data—all with one software platform.  Launched in 1984, ProPricer is trusted by organizations worldwide, including the top 10 U.S. Defense Contractors. The company thrives on turning its customers’ needs into product features and enhancements that benefit all current and future users of ProPricer. Visit us at https://www.propricer.com to learn more.  Some of ProPricer’s benefits include: - Streamlining the contractor’s proposal pricing process standardizing pricing.- Saving time; the user can respond to more RFPs in less time and win more contracts.- Offering a collaborative working environment. Multiple pricers and estimators can work on different aspects of the pricing at one time.- Producing custom reporting and outputs required in the RFP.- Updating a rate once and have it reflected throughout the proposal.- Eliminating formula errors that can happen in spreadsheets."
Pricing Software;ToolQuote;ToolQuote - Interactive Quoting Software for Moldmakers. ToolQuote is a mold quoting software that helps you efficiently put together your quotes quickly. ToolQuote is completely customizable to the way you quote tools currently.
Pricing Software;Vistaar;Vistaar, a leader in pricing and promotion software, offers both B2B and B2C solutions. Our delivery model is a single module SaaS approach that can be deployed very quickly. We believe simplicity is the ultimate sophistication and that ease of use ensures high adoption rates among all classes of users, especially sales. Typical financial benefits are 2-5% margin increases and 20% improvement in contract annual hit rates. Vistaar's operations include offices across North America, Europe and Asia. For more information, visit our website at www.vistaar.com or contact us at +1-973-581-6300. SpecialtiesPricing Software, Distributor Price Management, Invoice Match Solution, Agreement Price Optimization Solution, Digital Pricing Solutions, Price Management Solutions for Beverage Alcohol, Multi-country Pricing Soutions, Rebate Management and Retail Price Optimization
Pricing Software;Configurator;A full function CPQ designed to offer assisted, question-based selling.
Pricing Software;Syncron Price;Syncron Price enables leading manufacturers, dealers, and suppliers to automate and optimize dynamic pricing capabilities, globally. Leveraging artificial intelligence and machine learning, it identifies otherwise unseen pricing opportunities that positively impact corporate performance by maximizing sales volumes, revenue, and service profitability from aftermarket business.
Pricing Software;buynomics;buynomics is a forecasting machine. It employs large-scale simulation technologies to digitize customers and predict their purchase behavior - in any environment.  Our clients use buynomics to make data-driven decisions about their current- and new products, overall portfolio structure, pricing, promotions, trade terms and more.  Thanks to >95% forecast accuracy customers see up to 70% higher profitability compared to the status quo. Message us if you want to learn how you can benefit from buynomics or sign up for a free demo - no strings attached.buynomics or sign up for a free demo - no strings attached.
Pricing Software;Cube RM;Cube RM offers Revenue Management and Optimization software solutions, specially designed for large enterprises, helping them to efficiently manage their sales and pricing processes, leverage competitive intelligence, optimize pricing decisions and predict their impact on revenue performance.
Pricing Software;Darwin Pricing;Darwin Pricing provides online businesses of all sizes with a unique dynamic pricing solution, and offers managed pricing and real-time market monitoring services. Launch the most effective geo-targeted sales campaigns and boost your profits, one step ahead of your competition.
Pricing Software;EASA Software;EASA is the only low-code application development platform that enables organizations to automate, simplify and manage critical business processes which depend on spreadsheets or other modeling tools.
Pricing Software;Intelisale;A platform with multiple products that can drastically improve your omni-channel sales results. On mobile. Online. Behind a desk. Intelisale can bring all your B2B sales activities into one place with eCommerce, intelligent mobile order taking, sales route planning, advanced customer analytics and real-time reporting.
Pricing Software;Model N Revenue Cloud;Revvy Contract Management is an enterprise-grade, Salesforce-native solution that enables organizations to create and manage all types of sell-side contracts (e.g. sales contracts, service contracts, NDAs, SOWs, etc.) in one place.
Pricing Software;Netformx SalesXpert;Create IT Sales proposals remotely! With Netformx SalesXpert you can quickly and easily create validated and complete multi-vendor configurations and proposals that can be accurately deployed, thus increasing customer satisfaction. SalesXpert provides an interactive user experience for users to create and configure customer-specific proposals with a single system. The SalesXpert SaaS application seamlessly links customer information and configuration proposals by interfacing with CRM and otherexternal systems. Quick proposal configuration -  Following a simple workflow, you can select products from a variety of manufacturers, configure them accurately, and create a dynamic Bill of Materials (BOM) that updates automatically in real-time as you make changes. SalesXpert also suggests alternate products that can increase a deal’s profitability. The simplified configuration experience provides automatic validation and error correction of projects based on multi-vendor configuration rules maintained by Netformx KnowledgeXpert™. Projects can be shared between SalesXpert and Netformx DesignXpert® users. With Netformx SalesXpert you can:- Win more deals by quickly creating customer-specific, validated configurations, proposals, and BOMs, even at the customer site- Increase efficiency by eliminating the need to search, access, and manually integrate content from many vendor and internal systems- Increase accuracy and eliminate the need for specialized vendor product training- Accelerate profitability and achieve higher margins by incorporating your own value-add products and services- Maximize the benefits from vendor promotions and incentives
Pricing Software;PriceTweakers;"Price Monitoring software; offering dynamic pricing, competitor's price analysis, MAP Analysis."
Pricing Software;QuoteBase by Saphran;"Saphran's ""QuoteBase"" system uses proprietary, customer-specific algorithms to eliminate the need for costly, time-consuming custom programming."
Pricing Software;Regular Price Optimization;Clear Demand solutions are cloud based, architected on Big Data and delivered as a SaaS solution for improved speed, flexibility and ease-of-use. Retail clients enjoy improved profitability, superior retail price strategy and price management with an adaptive platform that can be modified to a retailer unique business processes.
Pricing Software;Revionics;Revionics is the leading provider of price, promotion, and markdown optimization for retailers of all sizes. Plan, execute, and measure results using Revionics
Pricing Software;SignalDemand;SignalDemand provides predictive analytics and optimization for commodity based value chains. Through on-demand software and services, SignalDemand delivers real-time recommendations to help make complex price, supply, mix and purchasing decisions across products, customers, channels and suppliers. Using patented, comprehensive mathematical models to process thousands of variables, SignalDemand enables better day-to-day decision-making and increased profit margins.
Pricing Software;Accelerated Repricing;Repricing Central is the fast, reliable, and comprehensive repricing solution you need to beat your competitors and to out-earn them. We reprice using the latest pricing data from Amazon, ensuring accuracy and locking you in a great position to increase sales and maximize profit.
Pricing Software;Advanced Pricing Logic;APL is a SaaS provider of performance-based pricing, promotion, kits, and competitive insight for retailers and distributors.   APL helps retailers scientifically manage and optimize product pricing. Created by retailers for retailers, Pricexpert delivers consistent ROI with a low TCO.  Leveraging state-of-the-art algorithms, APL delivers artificial intelligence-based pricing solutions that retailers use to price and analyze price change impacts, as well as to track price change results vs. theforecasted impact. With Pricexpert, retailers can obtain cutting-edge analytics, an experienced business partner and an emerging solution for today’s competitive retail industry.
Pricing Software;AhimsaSQ;Quotation Software is the most important tool to any B2B business in today's playing field.
Pricing Software;Ali Hunter;AliExpress tool for tracking competitors' sales, analyzing products, and inspecting other stores. Must have for dropship & online shopping.
Pricing Software;Alpha Repricer;Alpha Repricer is the fastest repricer for Amazon sellers. The company is situated in California - US.  It offers 16 marketplaces to Amazon sellers across the globe. The tool reprices within 2 minutes.   Key features include but not limited to: 1.   Best Amazon Repricing Tool2.  Repricing within 2 minutes3.  Algorithmic Buy Box Hunter4.  Rule based customizable strategies5.   Advanced Insights6.   Excellent after sales support7.   Intelligent Pricing8.   Set Min/Max pricing in bulk and a lot more! Alpha Repricer  gives the clients a competitive edge and increases their chances to win the coveted BUY BOX. We offer a 14-day FREE trial with all features included. The free trial comes with a complimentary on-boarding session.  Our prices start as low as $25! Join us now for the free trial!
Pricing Software;APL PRICEXPERT OPTIMIZER;PRICEXPERT is a premium price management software created by Advanced Pricing Logic. All in one software has three different levels of available solutions so that our customers can pick exactly what is needed, and affordable, to take their business to the next level. PRICEXPERT was specifically designed to allow small to medium size businesses, and even large retailers, to compete on pricing solutions with Fortune 500 companies.
Pricing Software;Base+;Fearlessly increase price on your customer base. Boost profit with confidence, use Base+ technology to know precisely where—and where not to increase price.
Salesforce CRM Document Generation Software;Conga Document Generation;You can communicate critical information and essential data through documents. They knit together your teams and influence every customer interaction. Conga’s document solutions allow you to streamline every document for the greatest benefit and to tailor them to be just what your business, and your customers, need.   Conga's document generation is the go-to solution for creating beautiful, accurate digital documents using pre-built or customized templates automatically populated with data fro m Salesforce. Send consistent and personalized documents that elevate your brand and delight your customers. No matter your industry, your role, or your use case, Conga makes it easy to quickly generate error-free documents and automate processes. Get rid of process roadblocks, eliminate manual work, and remove errors to accelerate business revenue. Gain additional insights with document notifications and history that increase visibility, speeding up team velocity and business cycles. Add automation to create and send documents en masse or without any clicks based on Salesforce workflow rules. Standardize what you send to ensure you land on-brand, every time. Deliver documents to your customer as promised, driving success and growth. Document generation software helps you transform your revenue operations process, providing automation, templated document creation, sharing, analytics, and more.  Adapt easily to keep up with customer needs when you effectively manage key business documents like quotes, proposals, contracts, invoices, work orders, shipping documents, account plans, and more. Salesforce. Send consistent and personalized documents that elevate your brand and delight your customers. No matter your industry, your role, or your use case, Conga makes it easy to quickly generate error-free documents and automate processes. Get rid of process roadblocks, eliminate manual work, and remove errors to accelerate business revenue. Gain additional insights with document notifications and history that increase visibility, speeding up team velocity and business cycles. Add automation to create and send documents en masse or without any clicks based on Salesforce workflow rules. Standardize what you send to ensure you land on-brand, every time. Deliver documents to your customer as promised, driving success and growth. Document generation software helps you transform your revenue operations process, providing automation, templated document creation, sharing, analytics, and more.  Adapt easily to keep up with customer needs when you effectively manage key business documents like quotes, proposals, contracts, invoices, work orders, shipping documents, account plans, and more.
Salesforce CRM Document Generation Software;DealHub.io;DealHub's award-winning Revenue Platform offers the most complete and connected revenue workflow for your organization.  The zero-code platform empowers sales teams to move leads down the funnel together with closing new and subscription businesses from anywhere.  The DealHub Platform includes:* Configure-Price-Quote (CPQ)* Subscription Management* Contract Management * Digital DealRoom* Real-time Buyer Intent Insights* eSign All powered by our Guided Sales Playbook and integrated with Salesforce, Microsoft Dynamics, and Freshworks CRM. Open API to all CRMs.
Salesforce CRM Document Generation Software;Gen;Let your reps generate agreements from any standard or custom object without leaving the Salesforce user interface.
Salesforce CRM Document Generation Software;Nintex Drawloop DocGen® for Salesforce;Nintex Drawloop DocGen® for Salesforce simplifies document creation in Salesforce using the same data and documents you use today. Quickly and easily merge data into any combination of Word, Excel, PowerPoint or PDF document templates.
Salesforce CRM Document Generation Software;S-Docs;S-Docs is the only 100% native document generation and e-signature solution for Salesforce. Built entirely on the Salesforce platform, S-Docs is lightning fast, exceptionally intuitive, and incredibly secure, since your data never leaves Salesforce. Generate, email, and e-sign your mission critical documents using a solution built on the platform your team relies on every day.
Salesforce CRM Document Generation Software;DocuSign CLM;While eSignature has changed the way that many organizations execute a contract, the lifecycle before and after signature is often managed through manual processes, spreadsheets, and emails—slowing the pace of doing business, increasing risk, and frustrating customers and employees. DocuSign CLM (Contract Lifecycle Management) allows organizations to streamline the agreement lifecycle by transforming analog manual processes into a digital automated workflow. The end result is an accelerated pace of doing business, increased compliance, and more efficient employees. Key Features: Central Repository, Advanced Search & Find, Version Control, Clause Library, Collaboration with internal and external parties, Redlining, Simple & Advanced Workflows, Tagging, Mobile Access, Multi Platform integrations (including tight integration with Salesforce).
Salesforce CRM Document Generation Software;Drive Connect;Drive Connect provides Google Drive File Management & Document Generation for Salesforce users. It is the simplest way to link Google Drive files to Salesforce records & generate Google Docs from Salesforce data. Create & track proposals, quotes, account plans, contracts, invoices, opportunity notes, QBRs & more with just clicks.
Salesforce CRM Document Generation Software;DocVaz;Smart Connect with your documents A simple click-and-configure application to set the process for your documents uploads and tagging documents to multiple related objects. Configurable rules ensure that all processes follow the same rules whenever a document is uploaded or tagged.
Salesforce CRM Document Generation Software;Concord;Concord is the only tool you need for all your contracts. Spend less time juggling between applications, editors, and e-signature tools and save money.  Over 500,000+ companies trust Concord with their contracts. With Concord, you can:-Draft, negotiate, sign, and manage every contract across your organization — all in one place-Work the way you want — on Concord, Word, or Google Docs-Collaborate with everyone — your teams, customers, and vendors-Get started in minutes, not months Key features that Concord offers:-Conditional approval workflows so that every contract is reviewed by the right person (and only    that person)-Private comments and versioning for more effective contract negotiations-Clause library for all pre-approved clauses, to add to contracts as-needed-Templates to streamline the contract drafting process-Unlimited, free e-signatures-Unlimited contracts
Salesforce CRM Document Generation Software;Formstack Documents (formerly WebMerge);Formstack Documents (formerly WebMerge) is the only document generation solution you need to save time, put a stop to manual entry, and streamline your paperwork process.  With Formstack Documents, you can upload, merge, and deliver smart documents in a snap.  Start from scratch or upload your own fillable PDF or Word document. Our app allows you to easily customize your document and merge it with data. Once you've created your document, it's time to figure out where you'll be sending it. Fromemails to Google Drive to a third-party integration via Webhooks, Formstack Documents gives you the control to send your merged files wherever you want. Formstack Documents integrates with over 150 different products, ensuring you'll easily be able to upload, merge, and deliver your documents, no matter what products you're using.
Salesforce CRM Document Generation Software;iText PDF library/SDK;iText Software is a global specialist in PDF. As a PDF/SDK library, iText can be embedded into document solution workflows in industries such as: Legal, Finance, Governance, IT, Operations and more.  Our diverse customer base includes more than half of the Fortune 500 companies, as well as many government agencies and small companies alike.  Our software has grown out of the open source space, and we still believe in the value of open source software. Our core library iText 7 Community and earlier versions iText 5, and iText 2 are all available under the AGPL license. We do offer commercial licensing for customers that do not wish to comply with AGPL and would like to keep their source code private. You may have used iText when you:- received a boarding pass from an airline,- received a PDF invoice or receipt,- received a PDF document after filling in a form,- and many more. Looking for a partner that can help you automate your document processes? Want to save more time and money by reducing your manual document processes and paper costs? Looking for help to integrate PDF functionalities in your applications, processes or products? Useful links:https://itextpdf.com/case-studieshttps://itextpdf.com/en/products/itext-7 We can help you: https://itextpdf.com/en/contact-us
Salesforce CRM Document Generation Software;Windward Core - Document Generation Components;The Global Leader in Document Automation Solutions.From a comprehensive SaaS or desktop solution, to seamless integration in your CRM or custom apps, we have you covered.  With smart document logic, beautiful designs, stunning layouts and an incredibly intuitive interface, Windward will transform your document automation experience.
Salesforce CRM Document Generation Software;Pulsar for Salesforce;Pulsar is an intuitive, easy-to-use application that lets users access their Salesforce data even offline.
